epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,1515.64,1.52326,1.83782,1.65706,0.41978,0.37413,0.31833,0.09409,2.33933,2.12665,2.33008,0.0083764,0.0083764,0.0083764
43,1551.53,1.49379,1.75453,1.62098,0.51531,0.51294,0.51328,0.25118,1.67815,1.49921,1.67783,0.0083368,0.0083368,0.0083368
44,1588.08,1.50325,1.77983,1.63717,0.4822,0.51075,0.46489,0.19851,1.83237,1.62344,1.8075,0.0082972,0.0082972,0.0082972
45,1624.6,1.49544,1.78691,1.63848,0.56763,0.5305,0.52081,0.22701,1.80645,1.47197,1.73387,0.0082576,0.0082576,0.0082576
46,1659.58,1.48894,1.72338,1.63034,0.53333,0.50128,0.45722,0.16962,1.97068,1.57454,1.95436,0.008218,0.008218,0.008218
47,1694.55,1.48664,1.73227,1.62496,0.6779,0.50128,0.55074,0.21965,1.87834,1.63743,1.83119,0.0081784,0.0081784,0.0081784
48,1730.07,1.47745,1.72662,1.62093,0.59082,0.50633,0.52785,0.25108,1.72172,1.41862,1.71732,0.0081388,0.0081388,0.0081388
49,1766.17,1.49638,1.74126,1.62018,0.58956,0.47206,0.48423,0.16584,2.04315,1.64495,2.01256,0.0080992,0.0080992,0.0080992
50,1802.32,1.48436,1.73699,1.63494,0.47795,0.53237,0.50234,0.20795,1.81677,1.66413,1.74178,0.0080596,0.0080596,0.0080596
51,1838.67,1.45901,1.73339,1.61405,0.58463,0.49887,0.51299,0.20396,1.93834,1.37544,1.84607,0.00802,0.00802,0.00802
52,1874.56,1.48153,1.71917,1.60188,0.60929,0.54266,0.5475,0.22248,1.83392,1.41884,1.73808,0.0079804,0.0079804,0.0079804
53,1910.46,1.47855,1.7349,1.59975,0.61456,0.65569,0.58668,0.24033,1.78166,1.60265,1.73709,0.0079408,0.0079408,0.0079408
54,1946.94,1.44356,1.65922,1.60139,0.56431,0.56789,0.56837,0.25693,1.70827,1.50587,1.69518,0.0079012,0.0079012,0.0079012
55,1983.43,1.45667,1.68554,1.60359,0.49468,0.55367,0.49879,0.20064,1.86743,1.50177,1.85843,0.0078616,0.0078616,0.0078616
56,2018.6,1.43725,1.66622,1.58662,0.54691,0.49668,0.44416,0.15693,2.10905,1.54463,2.06881,0.007822,0.007822,0.007822
57,2055.82,1.49063,1.70755,1.60938,0.62915,0.58026,0.57506,0.29354,1.503,1.31277,1.49572,0.0077824,0.0077824,0.0077824
58,2092.64,1.45948,1.70679,1.60577,0.60329,0.50966,0.53573,0.20923,1.88065,1.42632,1.80915,0.0077428,0.0077428,0.0077428
59,2129.2,1.44946,1.69438,1.57404,0.50097,0.55512,0.52456,0.1857,2.00849,1.6074,1.93324,0.0077032,0.0077032,0.0077032
